[TRACE] 18:05:43:430 SWAP/(3861:3861): Pag: 65, Estado: 0
[TRACE] 18:05:43:431 SWAP/(3861:3861): Pag: 66, Estado: 0
[TRACE] 18:05:43:449 SWAP/(3861:3861): Pag: 67, Estado: 0
[TRACE] 18:05:43:449 SWAP/(3861:3861): Pag: 68, Estado: 0
[TRACE] 18:05:43:449 SWAP/(3861:3861): Pag: 69, Estado: 0
[TRACE] 18:05:43:449 SWAP/(3861:3861): Pag: 70, Estado: 0
[TRACE] 18:05:43:450 SWAP/(3861:3861): Pag: 71, Estado: 0
[TRACE] 18:05:43:450 SWAP/(3861:3861): Pag: 72, Estado: 0
[TRACE] 18:05:43:450 SWAP/(3861:3861): Pag: 73, Estado: 0
[TRACE] 18:05:43:451 SWAP/(3861:3861): Pag: 74, Estado: 0
[TRACE] 18:05:43:455 SWAP/(3861:3861): Pag: 75, Estado: 0
[TRACE] 18:05:43:455 SWAP/(3861:3861): Pag: 76, Estado: 0
[TRACE] 18:05:43:455 SWAP/(3861:3861): Pag: 77, Estado: 0
[TRACE] 18:05:43:456 SWAP/(3861:3861): Pag: 78, Estado: 0
[TRACE] 18:05:43:456 SWAP/(3861:3861): Pag: 79, Estado: 0
[TRACE] 18:05:43:456 SWAP/(3861:3861): Pag: 80, Estado: 0
[TRACE] 18:05:43:456 SWAP/(3861:3861): Pag: 81, Estado: 0
[TRACE] 18:05:43:456 SWAP/(3861:3861): Pag: 82, Estado: 0
[TRACE] 18:05:43:457 SWAP/(3861:3861): Pag: 83, Estado: 0
[TRACE] 18:05:43:457 SWAP/(3861:3861): Pag: 84, Estado: 0
[TRACE] 18:05:43:457 SWAP/(3861:3861): Pag: 85, Estado: 0
[TRACE] 18:05:43:458 SWAP/(3861:3861): Pag: 86, Estado: 0
[TRACE] 18:05:43:458 SWAP/(3861:3861): Pag: 87, Estado: 0
[TRACE] 18:05:43:458 SWAP/(3861:3861): Pag: 88, Estado: 0
[TRACE] 18:05:43:458 SWAP/(3861:3861): Pag: 89, Estado: 0
[TRACE] 18:05:43:458 SWAP/(3861:3861): Pag: 90, Estado: 0
[TRACE] 18:05:43:459 SWAP/(3861:3861): Pag: 91, Estado: 0
[TRACE] 18:05:43:473 SWAP/(3861:3861): Pag: 92, Estado: 0
[TRACE] 18:05:43:474 SWAP/(3861:3861): Pag: 93, Estado: 0
[TRACE] 18:05:43:474 SWAP/(3861:3861): Pag: 94, Estado: 0
[TRACE] 18:05:43:474 SWAP/(3861:3861): Pag: 95, Estado: 0
[TRACE] 18:05:43:474 SWAP/(3861:3861): Pag: 96, Estado: 0
[TRACE] 18:05:43:475 SWAP/(3861:3861): Pag: 97, Estado: 0
[TRACE] 18:05:43:475 SWAP/(3861:3861): Pag: 98, Estado: 0
[TRACE] 18:05:43:475 SWAP/(3861:3861): Pag: 99, Estado: 0
[TRACE] 18:23:52:596 SWAP/(5936:5936): Pag: 0, Estado: 1
[TRACE] 18:23:52:596 SWAP/(5936:5936): Pag: 1, Estado: 1
[TRACE] 18:23:52:596 SWAP/(5936:5936): Pag: 2, Estado: 0
[TRACE] 18:23:52:596 SWAP/(5936:5936): Pag: 3, Estado: 0
[TRACE] 18:23:52:596 SWAP/(5936:5936): Pag: 4, Estado: 0
[TRACE] 18:23:52:596 SWAP/(5936:5936): Pag: 5, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 6, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 7, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 8, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 9, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 10, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 11, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 12, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 13, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 14, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 15, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 16, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 17, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 18, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 19, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 20, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 21, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 22, Estado: 0
[TRACE] 18:23:52:597 SWAP/(5936:5936): Pag: 23, Estado: 0
[TRACE] 18:23:52:598 SWAP/(5936:5936): Pag: 24, Estado: 0
[TRACE] 18:23:52:598 SWAP/(5936:5936): Pag: 25, Estado: 0
[TRACE] 18:23:52:598 SWAP/(5936:5936): Pag: 26, Estado: 0
[TRACE] 18:23:52:598 SWAP/(5936:5936): Pag: 27, Estado: 0
[TRACE] 18:23:52:598 SWAP/(5936:5936): Pag: 28, Estado: 0
[TRACE] 18:23:52:598 SWAP/(5936:5936): Pag: 29, Estado: 0
[TRACE] 18:23:52:598 SWAP/(5936:5936): Pag: 30, Estado: 0
[TRACE] 18:23:52:598 SWAP/(5936:5936): Pag: 31, Estado: 0
[TRACE] 18:23:52:598 SWAP/(5936:5936): Pag: 32, Estado: 0
[TRACE] 18:23:52:598 SWAP/(5936:5936): Pag: 33, Estado: 0
[TRACE] 18:23:52:598 SWAP/(5936:5936): Pag: 34, Estado: 0
[TRACE] 18:23:52:598 SWAP/(5936:5936): Pag: 35, Estado: 0
[TRACE] 18:23:52:598 SWAP/(5936:5936): Pag: 36, Estado: 0
[TRACE] 18:23:52:607 SWAP/(5936:5936): Pag: 37, Estado: 0
[TRACE] 18:23:52:608 SWAP/(5936:5936): Pag: 38, Estado: 0
[TRACE] 18:23:52:608 SWAP/(5936:5936): Pag: 39, Estado: 0
[TRACE] 18:23:52:608 SWAP/(5936:5936): Pag: 40, Estado: 0
